type,date,state
CUSTOM,06252002,MI
CUSTOM,04102001,MI
CUSTOM,05101999,MI
CUSTOM,10092001,MI
CUSTOM,04032000,MI
CUSTOM,07072003,MI
CUSTOM,02252000,MI
CUSTOM,10181999,MI
CUSTOM,10072003,MI
CUSTOM,12041999,MI
PRESIDENTIAL PRIMARY,02282012,MI
CUSTOM,01232002,MI
CUSTOM,11031999,MI
CUSTOM,06172000,MI
CUSTOM,12102001,MI
CUSTOM,07022001,MI
CUSTOM,09182007,MI
CUSTOM,11041997,MI
CUSTOM,04022000,MI
CUSTOM,03122001,MI
CUSTOM,06102002,MI
CUSTOM,02092001,MI
CUSTOM,06182002,MI
CUSTOM,08061996,MI
CUSTOM,11182002,MI
CUSTOM,03242004,MI
CUSTOM,11172003,MI
CUSTOM,03182003,MI
CUSTOM,05121997,MI
CUSTOM,02241999,MI
CUSTOM,05122003,MI
STATE GENERAL,11072006,MI
CUSTOM,06252001,MI
CUSTOM,02212000,MI
CUSTOM,06012004,MI
CUSTOM,01012001,MI
CUSTOM,07151999,MI
CUSTOM,09272004,MI
CUSTOM,04092002,MI
CUSTOM,01052004,MI
CUSTOM,09102001,MI
CUSTOM,07212003,MI
CUSTOM,11192002,MI
CUSTOM,11251997,MI
CUSTOM,03072000,MI
CUSTOM,03172003,MI
CUSTOM,08031999,MI
CUSTOM,12302003,MI
CUSTOM,10142002,MI
CUSTOM,06071999,MI
CUSTOM,01202004,MI
CUSTOM,03282002,MI
CUSTOM,07032000,MI
MAY CONSOLIDATED,05072013,MI
CUSTOM,03202001,MI
CUSTOM,12172002,MI
CUSTOM,03201999,MI
CUSTOM,08051999,MI
MAY CONSOLIDATED,05042010,MI
CUSTOM,08021999,MI
CUSTOM,04271999,MI
CUSTOM,05032000,MI
CUSTOM,05212002,MI
CUSTOM,10132003,MI
CUSTOM,09192005,MI
CUSTOM,09242001,MI
CUSTOM,09112000,MI
CUSTOM,06272000,MI
CUSTOM,05182004,MI
CUSTOM,03191996,MI
CUSTOM,11031998,MI
CUSTOM,03302001,MI
CUSTOM,12211998,MI
CUSTOM,04281998,MI
CUSTOM,08092003,MI
CUSTOM,10042000,MI
CUSTOM,04102008,MI
CUSTOM,06182001,MI
CUSTOM,02252002,MI
CUSTOM,09292003,MI
CUSTOM,01212003,MI
CUSTOM,07262000,MI
CUSTOM,06132000,MI
CUSTOM,08062002,MI
CUSTOM,02032004,MI
CUSTOM,12032001,MI
CUSTOM,09092001,MI
CUSTOM,03042002,MI
CUSTOM,02222000,MI
CUSTOM,03132000,MI
CUSTOM,03272001,MI
CUSTOM,09291999,MI
CUSTOM,06072004,MI
CUSTOM,06262001,MI
AUGUST CONSOLIDATED,08042009,MI
CUSTOM,12162000,MI
CUSTOM,02202001,MI
CUSTOM,09272001,MI
CUSTOM,05051998,MI
CUSTOM,05202000,MI
CUSTOM,05062003,MI
CUSTOM,05061900,MI
CUSTOM,09192006,MI
CUSTOM,03221999,MI
CUSTOM,12152004,MI
CUSTOM,09282000,MI
CUSTOM,05082000,MI
CUSTOM,10121999,MI
CUSTOM,08241999,MI
CUSTOM,10191999,MI
CUSTOM,09302000,MI
CUSTOM,12152003,MI
CUSTOM,04212003,MI
CUSTOM,01112000,MI
FEBRUARY CONSOLIDATED,02262013,MI
CUSTOM,03282000,MI
CUSTOM,07141999,MI
CUSTOM,07172001,MI
CUSTOM,08112003,MI
CUSTOM,09152001,MI
CUSTOM,08282001,MI
CUSTOM,10292002,MI
CUSTOM,09042003,MI
CUSTOM,08212001,MI
MAY CONSOLIDATED,05062014,MI
CUSTOM,02241998,MI
CUSTOM,08132003,MI
CUSTOM,02072000,MI
CUSTOM,11072000,MI
CUSTOM,06112001,MI
CUSTOM,09162000,MI
CUSTOM,12061999,MI
CUSTOM,03312003,MI
CUSTOM,07201999,MI
CUSTOM,08122003,MI
